,Code,Description
204,10223,"Anderson, IN: Anderson Municipal-Darlington Field"
205,10224,"Aiken, SC: Aiken Municipal"
206,10225,"Wainwright, AK: Wainwright Airport"
207,10226,"Aitutaki, Cook Islands: Aitutaki Airport"
208,10227,"Atlantic City, NJ: Bader Field"
209,10228,"Lake of the Ozarks, MO: Lee C Fine Memorial"
210,10229,"Ajaccio, France: Ajaccio Napoleon Bonaparte"
211,10230,"Jouf, Saudi Arabia: Al Jouf"
212,10231,"Akjoujt, Mauritania: Akjoujt Airport"
213,10232,"Aizwal, India: Lengpui"
214,10233,"Anjouan, Comoros: Ouani"
215,10234,"Arvidsjaur, Sweden: Arvidsjaur Airport"
216,10235,"Aracaju, Brazil: Santa Maria"
217,10236,"Agades, Niger: Mano Dayak"
218,10237,"Atka, AK: Atka Airport"
219,10238,"Akron, OH: Akron Fulton International"
220,10239,"Kufrah, Libya: Kufra"
221,10241,"Akiak, AK: Akiak Airport"
222,10242,"Asahikawa, Japan: Asahikawa Airport"
223,10243,"Akhiok, AK: Akhiok Airport"
224,10244,"Auckland, New Zealand: Auckland International"
225,10245,"King Salmon, AK: King Salmon Airport"
226,10246,"Akron, CO: Colorado Plains Regional"
227,10247,"Anaktuvuk Pass, AK: Anaktuvuk Pass Airport"
228,10248,"Akure, Nigeria: Akure Airport"
229,10249,"Auki, Solomon Islands: Auki Airport"
230,10250,"Akrotiri, Cyprus: Akrotiri Airport"
231,10251,"Aktyubinsk, Kazakhstan: Aktyubinsk Airport"
232,10252,"Sittwe, Burma: Sittwe Airport"
233,10253,"Albertville, AL: Albertville Regional-Thomas J Brumlik Field"
234,10254,"Alabaster, AL: Shelby County"
235,10255,"Huntsville, AL: Huntsville Executive Airport Tom Sharp Jr"
236,10256,"Almaty, Kazakhstan: Almaty Airport"
237,10257,"Albany, NY: Albany International"
238,10258,"Alicante, Spain: Alicante Elche"
239,10259,"Alpine, TX: Alpine Casparis Municipal"
240,10260,"Alta, Norway: Alta Airport"
241,10261,"Algiers, Algeria: Houari Boumediene"
242,10262,"Albany, Australia: Albany Airport"
243,10263,"Alice, TX: Alice International"
244,10264,"Alexander Bay, South Africa: Alexander Bay Airport"
245,10265,"Asela, Ethiopia: Asela Airport"
246,10266,"Alamogordo, NM: Alamogordo White Sands Regional"
247,10267,"Alton, IL: St. Louis Regional"
248,10268,"Waterloo, IA: Waterloo Regional"
249,10269,"Aleppo, Syria: Aleppo International"
250,10270,"Alegrete, Brazil: Alegrete Airport"
251,10271,"Alexandra, New Zealand: Alexandra Airport"
252,10272,"Alamosa, CO: San Luis Valley Regional/Bergman Field"
253,10273,"Alenquer, Brazil: Alenquer Airport"
254,10274,"Alula, Somalia: Alula Airport"
255,10275,"Walla Walla, WA: Walla Walla Regional"
256,10276,"Alexander City, AL: Thomas C. Russell Field"
257,10277,"Alexandria, Egypt: Alexandria International"
258,10278,"Lazy Bay, AK: Alitak Seaplane Base"
259,10279,"Amarillo, TX: Rick Husband Amarillo International"
260,10280,"Ahmedabad, India: Ahmedabad Airport"
261,10281,"Ama, Papua New Guinea: Ama Airport"
262,10282,"Amboin, Papua New Guinea: Amboin Airport"
263,10283,"Arba Minch, Ethiopia: Arba Minch Airport"
264,10284,"Mataram, Indonesia: Selaparang"
265,10285,"Durango, CO: Animas Air Park"
266,10286,"Puerto Armuelles, Panama: Puerto Armuelles Airport"
267,10287,"Amman, Jordan: Queen Alia International"
268,10288,"Alma, MI: Gratiot Community"
269,10289,"Mao, Chad: Mao Airport"
270,10290,"Ampanihy, Madagascar: Ampanihy Airport"
271,10291,"Ambon, Indonesia: Pattimura"
272,10292,"Amsterdam, Netherlands: Schiphol"
273,10294,"Ames, IA: Ames Municipal"
274,10295,"Ammaroo, Australia: Ammaroo Station"
275,10296,"Ambatomainty, Madagascar: Ambatomainty Airport"
276,10297,"Anaheim, CA: Anaheim-Disneyland HP"
277,10298,"Anniston, AL: Anniston Regional"
278,10299,"Anchorage, AK: Ted Stevens Anchorage International"
279,10300,"Anderson, SC: Anderson Regional"
280,10301,"Angers, France: Angers Marce"
281,10302,"Antofagasta, Chile: Andres Sabella International"
282,10303,"Angouleme, France: Angouleme Brie Champniers"
283,10304,"Aniak, AK: Aniak Airport"
284,10305,"Ankara, Turkey: Etimesgut"
285,10306,"Antalaha, Madagascar: Antsirabato"
286,10307,"Annette, AK: Annette Island"
287,10308,"Angoche, Mozambique: Angoche Airport"
288,10309,"Annapolis, MD: Lee"
289,10310,"Antwerp, Belgium: Deurne"
290,10311,"Andahuaylas, Peru: Andahuaylas Airport"
291,10312,"St. Johns, Antigua and Barbuda: V C Bird International"
292,10313,"Anvik, AK: Anvik Airport"
293,10314,"Andeness, Norway: Andoya"
294,10317,"Lima, OH: Lima Allen County"
295,10318,"Ancona, Italy: Ancona Falconara"
296,10319,"Aomori, Japan: Aomori Airport"
297,10320,"Karpathos, Greece: Karpathos Airport"
298,10321,"Paso de Los Libres, Argentina: Paso de Los Libres Airport"
299,10322,"Altoona, PA: Altoona-Blair County"
300,10323,"Alor Setar, Malaysia: Sultan Abdul Halim"
301,10324,"Amook Bay, AK: Amook Bay Airport"
302,10325,"Denver, CO: Centennial"
303,10326,"Apolo, Bolivia: Apolo Airport"
304,10327,"Napa, CA: Napa County"
